,,Home,,,,,,,,,,,,,Away,,,,,,,,,,,,
Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90
1, Barcelona,14,13,1,0,45,12,33,40,2.86,29.5,11.1,18.3,1.31,13,5,3,5,18,19,-1,18,1.38,17.8,14.1,3.8,0.29
2, Real Madrid,13,9,4,0,27,9,18,31,2.38,24.9,9.6,15.3,1.18,14,7,4,3,22,10,12,25,1.79,22,12.1,9.9,0.71
3, Sevilla,13,6,5,2,19,13,6,23,1.77,18.9,11.6,7.3,0.56,14,7,3,4,20,16,4,24,1.71,17.5,14.5,2.9,0.21
4, Real Sociedad,13,8,2,3,27,12,15,26,2,21.7,12,9.7,0.75,14,6,2,6,18,21,-3,20,1.43,15.2,17.9,-2.7,-0.19
5, Getafe,14,7,4,3,21,13,8,25,1.79,15.8,13.3,2.5,0.18,13,6,3,4,16,12,4,21,1.62,12.7,12.9,-0.2,-0.02
6, Atlético Madrid,14,8,5,1,20,9,11,29,2.07,21.6,8.9,12.7,0.91,13,3,7,3,11,12,-1,16,1.23,15,12.8,2.3,0.17
7, Valencia,14,8,6,0,23,12,11,30,2.14,17.5,16.4,1.1,0.08,13,3,3,7,15,27,-12,12,0.92,13.2,23.8,-10.6,-0.82
8, Villarreal,13,6,4,3,26,17,9,22,1.69,21.9,15.9,5.9,0.46,14,5,1,8,18,21,-3,16,1.14,20.9,18.5,2.4,0.17
9, Granada,13,8,2,3,16,8,8,26,2,13.7,11.6,2.1,0.16,14,3,3,8,17,24,-7,12,0.86,14.8,17.4,-2.5,-0.18
10, Athletic Club,13,7,3,3,15,7,8,24,1.85,19.4,10.3,9.1,0.7,14,2,7,5,14,16,-2,13,0.93,9.5,19.1,-9.5,-0.68
11, Osasuna,14,5,5,4,20,20,0,20,1.43,22.3,16.1,6.2,0.44,13,3,5,5,14,18,-4,14,1.08,12.7,18.6,-5.9,-0.45
12, Betis,14,7,3,4,27,21,6,24,1.71,21.3,16.2,5.1,0.36,13,1,6,6,11,22,-11,9,0.69,13.3,20.6,-7.4,-0.57
13, Levante,13,7,3,3,19,12,7,24,1.85,17.3,20.4,-3.1,-0.24,14,3,0,11,13,28,-15,9,0.64,12.7,27,-14.3,-1.02
14, Alavés,14,6,5,3,18,11,7,23,1.64,16.3,11.9,4.5,0.32,13,2,3,8,11,26,-15,9,0.69,13,24.7,-11.7,-0.9
15, Valladolid,13,3,7,3,14,13,1,16,1.23,15.1,14.1,1.1,0.08,14,3,4,7,9,20,-11,13,0.93,9.7,21.4,-11.7,-0.83
16, Eibar,14,6,1,7,19,20,-1,19,1.36,19.2,20.6,-1.5,-0.1,13,1,5,7,8,21,-13,8,0.62,9.1,19,-9.9,-0.76
17, Celta Vigo,13,4,5,4,10,12,-2,17,1.31,14,10.9,3.1,0.24,14,1,6,7,12,22,-10,9,0.64,12.2,20.6,-8.4,-0.6
18, Mallorca,14,6,2,6,16,14,2,20,1.43,17.5,17.2,0.3,0.02,13,1,2,10,12,30,-18,5,0.38,11.7,24.9,-13.2,-1.02
19, Leganés,14,4,3,7,13,19,-6,15,1.07,13.7,12.4,1.3,0.09,13,1,5,7,8,20,-12,8,0.62,11.7,18.4,-6.7,-0.52
20, Espanyol,13,1,5,7,12,24,-12,8,0.62,12.8,16.6,-3.8,-0.3,14,3,3,8,11,22,-11,12,0.86,12.5,16.1,-3.7,-0.26
